timeStamp,elapsed,label,responseCode,responseMessage,threadName,success,failureMessage,bytes,grpThreads,allThreads,Latency,SampleCount,ErrorCount,Hostname
1642362719886,105,UserMenu,200,OK,Thread Group 1-3,true,,1686,3,3,105,1,0,DESKTOP-AAG18PE
1642362719831,203,LoginLogoutEvent,200,OK,Thread Group 1-2,true,,876,3,3,203,1,0,DESKTOP-AAG18PE
1642362719991,67,ListSearchProducts,200,OK,Thread Group 1-3,false,"No Nodes Matched for //li/class='filter__dropdown-list'
",9351,4,4,66,1,1,DESKTOP-AAG18PE
1642362719897,187,LoginLogoutEvent,200,OK,Thread Group 1-4,true,,636,4,4,187,1,0,DESKTOP-AAG18PE
1642362720035,52,UserMenu,200,OK,Thread Group 1-2,true,,1646,4,4,52,1,0,DESKTOP-AAG18PE
1642362720087,47,HomePageProducts,200,OK,Thread Group 1-2,true,,4065,4,4,46,1,0,DESKTOP-AAG18PE
1642362720075,62,Anasayfa,200,OK,Thread Group 1-3,true,,23755,4,4,58,1,0,DESKTOP-AAG18PE
1642362720134,47,SuggestProduct,200,OK,Thread Group 1-2,true,,725,4,4,46,1,0,DESKTOP-AAG18PE
1642362720085,115,UserMenu,200,OK,Thread Group 1-4,true,,1646,4,4,115,1,0,DESKTOP-AAG18PE
1642362720182,60,SearchProduct,200,OK,Thread Group 1-2,true,,18003,4,4,59,1,0,DESKTOP-AAG18PE
1642362720201,46,HomePageProducts,200,OK,Thread Group 1-4,true,,4065,4,4,46,1,0,DESKTOP-AAG18PE
1642362720244,44,UserMenu,200,OK,Thread Group 1-2,true,,1646,4,4,43,1,0,DESKTOP-AAG18PE
1642362720248,53,SuggestProduct,200,OK,Thread Group 1-4,true,,1375,4,4,53,1,0,DESKTOP-AAG18PE
1642362720137,181,LoginLogoutEvent,200,OK,Thread Group 1-3,true,,636,4,4,181,1,0,DESKTOP-AAG18PE
1642362720290,45,ListSearchProducts,200,OK,Thread Group 1-2,false,"No Nodes Matched for //li/class='filter__dropdown-list'
",4455,4,4,44,1,1,DESKTOP-AAG18PE
1642362720302,59,SearchProduct,200,OK,Thread Group 1-4,true,,18458,3,3,57,1,0,DESKTOP-AAG18PE
1642362720320,43,UserMenu,200,OK,Thread Group 1-3,true,,1646,3,3,43,1,0,DESKTOP-AAG18PE
1642362720056,325,Anasayfa,200,OK,Thread Group 1-5,false,"The operation lasted too long: It took 325 milliseconds, but should not have lasted longer than 300 milliseconds.",23755,3,3,292,1,1,DESKTOP-AAG18PE
1642362720362,46,UserMenu,200,OK,Thread Group 1-4,true,,1646,3,3,45,1,0,DESKTOP-AAG18PE
1642362720363,49,HomePageProducts,200,OK,Thread Group 1-3,true,,4065,3,3,48,1,0,DESKTOP-AAG18PE
1642362720412,44,SuggestProduct,200,OK,Thread Group 1-3,true,,725,3,3,43,1,0,DESKTOP-AAG18PE
1642362720409,49,ListSearchProducts,200,OK,Thread Group 1-4,false,"No Nodes Matched for //li/class='filter__dropdown-list'
",9344,3,3,48,1,1,DESKTOP-AAG18PE
1642362720457,73,SearchProduct,200,OK,Thread Group 1-3,true,,18003,3,3,73,1,0,DESKTOP-AAG18PE
1642362720382,199,LoginLogoutEvent,200,OK,Thread Group 1-5,true,,636,3,3,199,1,0,DESKTOP-AAG18PE
1642362720531,52,UserMenu,200,OK,Thread Group 1-3,true,,1646,3,3,52,1,0,DESKTOP-AAG18PE
1642362720485,110,Anasayfa,200,OK,Thread Group 1-4,true,,23755,3,3,105,1,0,DESKTOP-AAG18PE
1642362720582,45,UserMenu,200,OK,Thread Group 1-5,true,,1686,3,3,44,1,0,DESKTOP-AAG18PE
1642362720584,50,ListSearchProducts,200,OK,Thread Group 1-3,false,"No Nodes Matched for //li/class='filter__dropdown-list'
",4455,3,3,49,1,1,DESKTOP-AAG18PE
1642362720628,44,HomePageProducts,200,OK,Thread Group 1-5,true,,4065,2,2,44,1,0,DESKTOP-AAG18PE
1642362720673,44,SuggestProduct,200,OK,Thread Group 1-5,true,,1375,2,2,44,1,0,DESKTOP-AAG18PE
1642362720718,64,SearchProduct,200,OK,Thread Group 1-5,true,,17967,2,2,62,1,0,DESKTOP-AAG18PE
1642362720596,191,LoginLogoutEvent,200,OK,Thread Group 1-4,true,,636,2,2,191,1,0,DESKTOP-AAG18PE
1642362720788,48,UserMenu,200,OK,Thread Group 1-4,true,,1646,2,2,48,1,0,DESKTOP-AAG18PE
1642362720783,53,UserMenu,200,OK,Thread Group 1-5,true,,1646,2,2,53,1,0,DESKTOP-AAG18PE
1642362720837,45,HomePageProducts,200,OK,Thread Group 1-4,true,,4065,2,2,45,1,0,DESKTOP-AAG18PE
1642362720837,48,ListSearchProducts,200,OK,Thread Group 1-5,false,"No Nodes Matched for //li/class='filter__dropdown-list'
",9344,2,2,48,1,1,DESKTOP-AAG18PE
1642362720883,42,SuggestProduct,200,OK,Thread Group 1-4,true,,1375,2,2,42,1,0,DESKTOP-AAG18PE
1642362720900,62,Anasayfa,200,OK,Thread Group 1-5,true,,23755,2,2,56,1,0,DESKTOP-AAG18PE
1642362720926,53,SearchProduct,200,OK,Thread Group 1-4,true,,17967,2,2,52,1,0,DESKTOP-AAG18PE
1642362720979,67,UserMenu,200,OK,Thread Group 1-4,true,,1646,2,2,67,1,0,DESKTOP-AAG18PE
1642362721046,49,ListSearchProducts,200,OK,Thread Group 1-4,false,"No Nodes Matched for //li/class='filter__dropdown-list'
",9344,2,2,48,1,1,DESKTOP-AAG18PE
1642362720962,227,LoginLogoutEvent,200,OK,Thread Group 1-5,true,,876,1,1,227,1,0,DESKTOP-AAG18PE
1642362721189,45,UserMenu,200,OK,Thread Group 1-5,true,,1646,1,1,45,1,0,DESKTOP-AAG18PE
1642362721235,102,HomePageProducts,200,OK,Thread Group 1-5,true,,4065,1,1,102,1,0,DESKTOP-AAG18PE
1642362721338,44,SuggestProduct,200,OK,Thread Group 1-5,true,,725,1,1,44,1,0,DESKTOP-AAG18PE
